property_id,property_name,property_type,address,neighborhood,postcode,location,price,size_sqft,bedrooms,bathrooms,floors,year_built,property_condition,balcony,garden,swimming_pool,garage,furnished,property_tags,developer_id,availability_status,listing_date,description
90,Foley-Wheeler Apartment,Condo,83099 Jason Manor,Surry Hills,2010,"Sydney, Surry Hills, 2010",4931838,4899,3,2,2,2002,New,True,False,True,True,True,Luxury,2,Available,2024-01-03,Traditional whole series contain one. Almost article foot realize bring question issue. Up phone book animal production Congress. Will condition term himself.
91,Gutierrez-Silva Villa,Villa,8826 Castillo Skyway,Bondi Beach,2026,"Sydney, Bondi Beach, 2026",1252865,939,5,4,3,1910,Needs Repair,False,False,True,False,True,Luxury,2,Under Contract,2024-03-31,Should feeling kid source rise. Value treat claim paper parent return. School entire sign various argue.
92,"Johnson, Herring and Morris House",Villa,16724 Connie Trail,Manly,2095,"Sydney, Manly, 2095",2389805,1518,2,4,1,1902,New,False,False,False,False,False,Luxury,8,Available,2024-02-05,"Such growth country study media test. Probably issue century western before scene.
Trade prevent girl smile say. Lay nothing and realize when. Hundred miss tree nice television true religious leave."
93,"Norman, Martinez and Wolfe Apartment",Villa,252 Susan Mills Suite 209,Manly,2095,"Sydney, Manly, 2095",2442265,3042,3,4,3,1925,Needs Repair,True,True,False,True,True,Investment,6,Available,2024-03-17,"Foot through own hour federal network.
Yet close key decision sell plan. Eight grow everything important."
94,Holland-Lopez House,Apartment,638 Richard Roads,Sydney CBD,2000,"Sydney, Sydney CBD, 2000",1574443,3723,5,3,1,1995,Needs Repair,True,False,False,True,False,Luxury,1,Sold,2024-08-01,"Travel program truth catch. Cup ten old lose himself. Sell so here both once blue common.
Build science officer own tax woman. Effect third shoulder see laugh. Among science box."
95,Bridges Group Condo,House,884 Hernandez Freeway,Paddington,2021,"Sydney, Paddington, 2021",3977685,3410,2,2,3,1945,Needs Repair,True,True,False,True,False,Affordable,2,Under Contract,2024-02-24,"Play language go participant mean. Eat later discussion throughout board.
History worker service people bar. Window bit call event career beyond husband. Lead draw long throughout difficult."
96,Le-Gross Villa,House,11989 Janet Islands,Sydney CBD,2000,"Sydney, Sydney CBD, 2000",861260,742,3,1,1,1976,Needs Repair,False,False,True,True,True,Investment,5,Available,2024-04-10,"Everyone let black food.
Within statement tonight true expect. Half government hour none baby business computer. Should pay culture when finish game five."
97,Reeves-Miller Villa,Condo,260 Courtney Cape Apt. 298,North Sydney,2060,"Sydney, North Sydney, 2060",4566907,4589,4,4,1,1974,Needs Repair,False,False,True,False,True,Affordable,4,Sold,2024-02-07,"Institution film ever here action street. Early blood nor design plant response stock.
Measure compare high try. Good church media option. Pretty beat bar fund international energy."
98,Carter LLC Villa,Apartment,547 Erickson Track,Darlinghurst,2010,"Sydney, Darlinghurst, 2010",1570439,2170,4,4,1,1983,Renovated,True,True,False,True,False,Investment,2,Available,2024-06-06,"Light yard safe assume develop all. Middle beyond make there sell by. Require teacher between certainly stock doctor happy.
Drive well common security success consumer."
99,Wood Group House,Apartment,85908 Bryant Shoal Suite 059,Newtown,2042,"Sydney, Newtown, 2042",1375696,2264,4,1,2,1916,Needs Repair,True,True,False,True,False,Affordable,3,Sold,2024-07-28,"Short off each both last. Occur behind main fly plant civil.
Gun once two hear total relate three."
100,Daniel Group Villa,House,526 Moses Row Apt. 398,Parramatta,2150,"Sydney, Parramatta, 2150",2065959,3949,4,2,3,1982,New,False,True,True,False,False,Investment,1,Under Contract,2024-01-05,Rule people cause environment writer trouble. Really seven very several with. Really their bring federal.
